xx	18	18	18	22	22	22	26	26	26	30	30	30	34	34	34	38	38	38	42	42	42	46	46	46	50	50	50	54	54	54
1	2.422785468	1.697407939	2.203810227	3.596682134	3.563594864	4.377174795	1.733074088	2.198724222	1.643380625	0.946057645	0.2799679	0.314980262	0.122427537	0.048027349	0.100133734	0.313528102	0.190342109	0.320115994	1.658639088	1.46747236	2.080119863	2.614738488	2.450936879	3.935826605	3.706352239	3.854828465	3.605001842	1.362887674	0.990800611	0.556068042
2	0.471937154	0.426317444	0.497694837	0.190342108	0.235424003	0.340721918	0.097395572	0.086369555	0.109070535	0.162292323	0.213158722	0.353553389	0.533416119	0.494257008	0.821690311	0.740548773	0.730353419	0.735433429	0.382447422	0.444421339	0.447512533	0.185994688	0.200267468	0.424351984	0.188155843	0.228986322	0.21763764	0.181327125	0.260616439	0.316439147
3	0.578344091	0.341510063	0.416580341	0.236514411	0.257623004	0.307075787	0.293886976	0.393199483	0.271683715	0.838955773	0.402390085	0.61273422	0.935191246	0.375443225	1.189207112	0.641712947	0.537126323	0.598739351	0.40146144	0.437291334	0.586417473	0.237061507	0.158219574	0.2799679	0.487452427	0.524858341	0.51287056	0.915945288	0.723634617	0.52364706
4	0.79553648	0.467595622	0.395020654	0.446479753	0.371989377	0.35273745	0.725308499	0.662809718	0.467595622	3.498330664	5.775716755	7.127189712	12.5243746	8.856070212	13.89666372	4.027822182	3.418428681	5.856342757	1.030492016	1.127660922	0.698984964	0.314980261	0.218645667	0.408007241	0.461158095	0.28585062	0.336031098	4.407620443	2.70069988	4.131502842
5	3.138336392	2.193649959	2.37841423	1.909683208	2.549121255	2.143546925	2.128740365	2.198724227	1.401203665	2.867910496	1.681792831	1.967913307	2.502436279	1.231144413	2.4794154	1.769489662	1.547564994	3.402668644	2.30271096	2.76382576	2.525670902	1.554732811	1.433955248	2.198724227	2.234574276	2.143546925	2.456606299	1.990779358	1.484523571	1.277508892
6	2.286804969	2.009263344	2.198724222	2.763825754	2.234574271	2.874544431	3.145595864	2.982798794	2.023238876	2.479415394	1.70526978	1.491399397	1.404444872	0.882702994	1.427344251	1.289370305	0.988514018	1.598442296	2.719484739	2.75108363	2.340256501	1.484523567	1.632028966	2.260538773	3.256525063	2.969047134	2.828427118	1.810849518	1.437272215	1.391524841
7	1.057018038	1.289370305	1.474269214	3.080860438	3.355823091	3.34035167	2.450936879	2.881193717	2.75108363	1.443929192	0.858565434	0.627056203	0.114493161	0.085377516	0.085772957	0.13335403	0.125578959	0.233797811	1.205807825	1.453972514	1.650992229	2.537368982	2.383915882	2.543238327	2.439637274	2.854688502	2.700699886	0.870550561	0.517632461	0.569065516
8	1.159363786	1.307369241	1.151355475	0.634342244	0.650670925	0.814131264	0.275476278	0.444421339	0.315708861	0.231112414	0.385107554	0.527289312	1.081724661	2.239743198	1.262835445	2.118926179	1.815038302	1.999999991	1.325619436	1.464085689	1.107008776	0.78096691	1.122462043	0.658231357	0.326088016	0.299369675	0.415618946	0.276113499	0.4774208	0.582366791
9	0.909618392	0.730353421	0.644685153	0.436282143	0.381564801	0.410845156	0.509327904	0.45062523	0.73543343	1.170128251	1.298338585	1.146047359	1.753211439	3.332642728	1.765405989	1.72508406	1.170128251	1.609560341	0.954841602	0.888842679	0.619853849	0.631417724	0.579681894	0.35355339	0.470848008	0.53588673	0.556068042	1.140763713	1.474269214	1.274560624
10	0.570381855	0.433268521	0.279321783	0.286511839	0.163799175	0.136471032	0.193445623	0.167627799	0.18946457	0.733736178	1.437272212	1.729074455	5.696200756	9.426137067	5.074737952	4.247655196	3.514533793	2.651238871	0.625609067	0.400534937	0.344680916	0.446479753	0.360982297	0.338368379	0.169967796	0.160799333	0.233797811	1.790050134	2.848100378	2.694467141
11	1.733074092	1.733074092	1.561933827	1.647182035	1.709214349	1.547564994	1.572797936	1.200248667	1.602139755	2.02791896	1.547564994	1.01865581	1.410949807	2.700699892	1.433955248	1.940820463	1.222640278	1.709214349	2.032609864	1.777685362	2.324091174	2.260538779	2.239743208	1.844632387	1.443929196	2.084931522	1.477679441	1.896492062	1.83612804	1.613283518
12	1.356604324	1.391524841	1.470866861	1.794190813	1.729074459	1.773582774	1.848899316	1.831890576	1.798341067	1.643380625	1.420763736	1.107008779	0.903335199	1.677911546	0.911722486	0.770215109	0.549681055	0.874582668	1.274560624	1.397969931	2.080119863	3.031433126	3.226567029	2.255321849	2.276262064	2.578740611	2.669679702	1.806670397	2.099433362	1.986184986
